CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23
0.20746,0,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,29.68
0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,6.29
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19
0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51
9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13
10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69
0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,8.01
0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,8.61
0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19
7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76
41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,27.38
0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,10.45
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52
0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51
2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81
0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56
0.18337,0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,23.97
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64
0.11132,0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,13.35
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32
0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03
0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28
5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5
3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,6.72
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44
0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7
0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22
0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,4.16
0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,17.1
4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67
0.01381,80,0.46,0,0.422,7.875,32,5.6484,4,255,14.4,2.97
0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59
0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,11.74
0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,2.87
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69
